N,P,K,temperature,humidity,ph,rainfall,season,crop
20.85,11.71,19.31,25.52,86.32,5.7,105.36,0,Orange
16.05,12.11,30.71,30.92,86.06,6.83,149.66,0,Coconut
26.63,67.94,18.44,23.74,56.55,6.94,77.9,2,Black Gram
103.36,17.98,59.2,26.53,65.47,6.1,101.95,2,Muskmelon
22.33,14.19,17.55,24.4,77.76,5.81,97.65,2,Orange
20.94,54.29,29.81,16.64,63.33,6.22,40.03,2,Lentil
5.48,45.76,31.43,27.33,24.84,7.07,66.31,2,Moth Beans
89.03,12.88,68.24,25.25,75.97,7.41,107.6,0,Watermelon
110.46,12.37,46.45,32.18,73.58,6.17,75.52,2,Watermelon
26.09,23.29,32.08,24.3,54.91,6.69,64.84,2,Pomegranate
112.35,19.4,52.87,27.36,79.42,6.34,98.4,2,Muskmelon
99.75,24.29,49.1,28.44,76.73,7.2,93.18,2,Muskmelon
21.77,64.18,21.84,19.71,63.74,6.62,59.48,2,Lentil
19.58,38.8,27.22,31.99,51.76,6.99,68.06,2,Moth Beans
22.83,29.18,41.48,25.28,57.31,6.32,88.92,2,Grapes
22.58,14.88,30.95,25.93,61.2,6.6,62.71,2,Pomegranate
42.82,68.26,55.17,24.69,65.92,6.96,84.83,2,Papaya
70.0,52.46,29.18,27.6,82.75,6.83,133.1,0,Jute
26.78,21.84,29.92,22.16,59.65,6.84,63.69,2,Pomegranate
114.07,17.49,29.98,24.96,79.3,6.5,145.67,2,Coffee
16.18,32.28,41.11,24.77,63.75,6.11,67.22,2,Grapes
25.39,9.29,27.83,29.93,85.04,5.48,148.38,0,Coconut
78.31,51.13,37.62,27.45,86.95,5.86,107.3,0,Jute
22.07,37.96,32.47,29.55,68.57,6.87,69.02,2,Mung Beans
78.48,48.31,37.83,27.2,99.98,7.3,140.26,0,Jute
23.92,44.01,22.93,29.1,53.28,6.75,59.36,2,Moth Beans
24.69,20.83,14.61,20.78,65.2,6.91,90.57,2,Orange
108.78,91.5,43.7,26.5,87.52,6.24,123.38,0,Banana
22.54,12.49,24.43,21.63,70.66,7.43,144.4,2,Orange
109.15,36.11,34.91,23.65,78.08,6.67,111.31,2,Maize
71.72,42.51,40.87,31.42,79.76,6.03,173.9,0,Rice
27.21,117.73,189.69,20.27,55.26,6.0,102.79,1,Apple
30.78,58.64,21.23,27.6,64.95,7.24,98.2,2,Black Gram
29.89,57.21,30.26,28.34,63.92,6.39,84.71,2,Mung Beans
20.16,39.43,25.97,27.53,38.89,7.42,59.82,2,Moth Beans
27.05,131.65,205,16.54,62.81,5.98,122.4,2,Apple
23.78,36.65,38.5,25.49,67.21,6.27,63.2,2,Grapes
43.97,54.88,55.05,28.32,90.76,6.77,101.02,0,Papaya
26.53,61.09,14.6,22.8,64.99,5.75,100.54,2,Kidney Beans
16.14,21.37,12.65,25.51,76.52,6.8,77.5,2,Orange
24.37,12.74,28.31,24.63,71.03,5.81,172.13,2,Coconut
90.22,44.71,35.23,25.92,80.94,5.41,205.41,0,Rice
17.79,15.52,31.81,21.99,61.73,6.29,50.57,2,Pomegranate
29.13,57.78,24.55,21.53,61.15,6.94,97.25,2,Black Gram
